COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
106,20230123,P,66,53,64,52,112,257,649,847,846,1072,1279,1200,1110,1284,1425,1443,1426,1039,673,433,254,197,124,82,1/23/2023
106,20230123,S,92,78,78,70,105,164,447,853,1269,1287,1167,969,867,821,827,842,806,664,505,384,354,276,176,121,1/23/2023
106,20230124,P,53,37,41,49,72,153,354,510,702,764,899,963,1089,1178,1330,1315,1199,857,532,358,251,177,132,107,1/24/2023
106,20230124,S,93,90,79,78,122,220,448,918,1141,1156,972,857,790,781,824,862,759,617,481,430,373,273,214,162,1/24/2023
106,20230125,P,75,56,51,47,71,142,310,503,661,803,987,900,1031,1064,1279,1265,1142,783,557,322,301,212,136,97,1/25/2023
106,20230125,S,112,95,92,92,119,192,436,950,1171,1086,954,904,868,873,1214,1047,983,666,736,575,437,476,313,223,1/25/2023
106,20230126,P,62,51,55,80,62,151,287,440,591,810,976,939,1113,1299,1515,1555,1477,1078,710,481,346,251,166,139,1/26/2023
106,20230126,S,158,113,90,83,119,249,555,1203,1537,1554,1352,1196,1144,1254,1343,1437,1507,1411,1308,1136,1011,575,695,499,1/26/2023
106,20230127,P,84,82,91,94,94,206,295,535,722,838,1088,894,1022,1332,1724,1808,1444,1370,922,611,451,220,9,171,1/27/2023
106,20230127,S,239,208,144,118,170,305,853,1421,1515,1897,2110,2081,1940,1857,1273,1906,1886,1760,1584,1766,1129,1468,469,633,1/27/2023
106,20230128,P,207,200,94,150,91,174,316,553,601,955,1280,598,1571,1950,1903,1465,1498,1480,1526,1354,1046,602,562,179,1/28/2023
106,20230128,S,561,140,118,81,0,684,1574,1494,1326,2011,1555,1587,1956,1981,1607,1310,1206,933,639,531,443,392,252,178,1/28/2023
106,20230129,P,143,102,90,115,132,264,574,911,1492,2125,1961,1983,1838,1742,2122,1691,1737,1653,1437,1781,1210,675,362,191,1/29/2023
106,20230129,S,118,89,73,76,79,250,1209,1647,1614,964,1262,1557,1414,1531,1392,1173,1071,742,546,442,351,286,207,137,1/29/2023
106,20230130,P,100,84,87,80,108,245,588,918,1024,1077,1267,1269,1392,1157,1228,1130,1051,716,522,303,292,197,123,57,1/30/2023
106,20230130,S,109,89,88,80,123,201,409,813,1055,816,927,635,1414,898,779,796,464,18,11,6,516,307,131,89,1/30/2023
106,20230131,P,40,38,80,79,93,177,349,514,632,805,906,1019,1181,1458,1257,1825,1400,1195,698,535,321,234,174,115,1/31/2023
106,20230131,S,93,77,68,63,95,169,485,996,1127,1311,1212,1152,878,834,818,861,821,682,568,448,378,300,195,154,1/31/2023
106,20230201,P,80,50,67,72,115,161,293,527,669,848,946,632,1122,1380,1507,1687,1373,1070,674,454,394,197,179,137,2/1/2023
106,20230201,S,109,103,88,110,141,247,467,1083,1342,1357,1431,1040,1038,966,1166,1096,1130,955,814,660,482,444,313,260,2/1/2023
106,20230202,P,91,61,60,62,113,175,305,503,655,777,929,934,1108,1297,1596,1723,1552,887,940,713,354,262,197,122,2/2/2023
106,20230202,S,196,156,126,104,145,282,562,1266,1845,1711,1421,1197,1123,1168,1424,1372,1499,1377,1208,1094,921,625,523,383,2/2/2023
106,20230203,P,70,73,73,78,110,93,176,506,714,837,1104,1057,1287,1450,1925,2006,2026,1572,1101,663,471,304,211,130,2/3/2023
106,20230203,S,223,205,135,121,128,234,721,1651,1709,1749,1987,2026,1430,1459,1733,2201,2328,2246,2145,1770,1421,893,504,353,2/3/2023
106,20230204,P,66,58,57,69,84,169,377,580,806,1209,1644,1490,1679,1959,2424,2421,2002,1717,1203,981,618,395,241,153,2/4/2023
106,20230204,S,194,142,88,79,101,465,1831,1861,1890,1756,1719,1399,1464,1509,1526,1585,1489,1133,973,719,615,483,339,205,2/4/2023
106,20230205,P,82,87,81,90,131,209,534,826,1285,2169,3123,2468,2531,1947,1785,2037,1559,1808,1982,1986,1085,468,238,131,2/5/2023
106,20230205,S,168,100,64,66,77,200,1381,1722,1628,1509,1269,1368,1414,1423,1526,1494,1271,1083,789,577,406,320,219,139,2/5/2023
106,20230206,P,56,41,45,61,120,168,470,847,905,1013,1337,1277,1353,463,2288,1708,1440,1141,668,438,295,180,156,112,2/6/2023
106,20230206,S,112,97,88,72,130,220,513,1069,1334,1248,1124,991,850,824,926,840,750,626,469,386,294,248,158,144,2/6/2023
106,20230207,P,43,53,46,52,87,145,339,491,671,859,897,914,977,1256,1464,1477,1452,1093,650,435,338,224,154,121,2/7/2023
106,20230207,S,109,93,79,79,96,214,459,1027,1340,1448,1082,957,832,795,831,890,778,696,530,450,311,295,241,155,2/7/2023
106,20230208,P,100,65,61,83,115,167,379,507,767,906,1023,1012,1017,1211,1354,1407,1385,1015,539,299,292,232,188,122,2/8/2023
106,20230208,S,126,97,78,77,101,239,498,1065,1427,1316,1067,975,931,1005,1156,1123,1021,912,707,563,428,532,318,237,2/8/2023
106,20230209,P,72,81,54,51,79,135,254,464,580,648,994,997,1030,1092,1345,1448,1378,1095,693,481,434,281,190,145,2/9/2023
106,20230209,S,87,148,104,97,121,192,444,928,1182,1579,1122,1047,1139,1193,1335,1228,1656,1344,1232,1056,845,659,465,253,2/9/2023
106,20230210,P,73,72,73,78,91,173,333,580,767,980,1306,1192,1312,1655,1872,2105,2010,1748,1124,716,498,347,229,141,2/10/2023
106,20230210,S,202,182,128,90,146,243,755,1765,1843,2027,1910,1968,1533,1599,1806,2055,2380,2182,2182,1548,1205,803,502,272,2/10/2023
106,20230211,P,102,67,76,68,114,205,471,716,1073,1245,1745,1659,1718,2016,2530,2322,2267,1839,1295,1014,705,350,223,138,2/11/2023
106,20230211,S,232,153,97,78,108,457,1637,1998,1864,1643,1944,1542,1423,1528,1519,1528,1439,1139,824,680,603,396,260,142,2/11/2023
106,20230212,P,109,66,68,90,122,227,526,889,1404,2357,2941,2860,2482,2096,2064,2026,1792,1549,1013,1001,858,722,237,122,2/12/2023
106,20230212,S,127,88,62,55,74,181,1270,1736,1415,1082,1267,1394,1314,1367,1440,1250,1018,694,537,444,365,381,249,135,2/12/2023
106,20230213,P,68,58,61,90,127,299,832,1097,1186,1386,1667,1465,1446,1566,1540,1998,1594,1045,613,422,330,210,162,96,2/13/2023
106,20230213,S,89,77,64,70,126,233,551,1038,1305,1542,1310,1148,1011,942,1028,986,856,709,585,422,332,187,0,242,2/13/2023
106,20230214,P,76,50,35,52,64,119,341,515,679,763,931,942,960,773,1589,1177,1059,745,488,382,228,162,102,71,2/14/2023
106,20230214,S,101,96,69,57,121,205,410,780,951,978,866,687,873,716,788,773,699,518,562,414,267,284,178,168,2/14/2023
106,20230215,P,60,54,51,62,74,112,226,360,512,645,758,773,782,880,922,989,906,615,328,264,142,103,81,58,2/15/2023
106,20230215,S,109,96,76,69,92,118,245,560,753,681,709,776,706,817,851,959,908,760,613,451,359,311,268,280,2/15/2023
106,20230216,P,69,167,118,108,94,187,348,535,748,985,1093,956,1039,1197,1450,1559,1458,1096,743,902,529,321,208,136,2/16/2023
106,20230216,S,182,194,136,82,111,216,456,875,1289,1841,1593,1286,1250,1331,1665,1603,1749,1644,1419,1309,1071,768,644,367,2/16/2023
106,20230217,P,83,95,71,71,95,176,290,583,853,1069,1277,1259,1441,1684,2175,2337,2217,1924,1463,943,643,347,253,161,2/17/2023
106,20230217,S,310,232,170,105,176,330,946,1957,1696,1770,1976,1792,2074,2193,2256,2312,2489,2013,1633,1448,1180,916,645,350,2/17/2023
106,20230218,P,89,82,70,74,104,202,398,676,1000,1278,1780,1592,1517,1779,1989,1922,1822,1662,1062,825,598,382,251,133,2/18/2023
106,20230218,S,304,169,129,100,154,470,1694,1782,1736,1186,1373,1678,1771,1697,1724,1666,1561,1198,948,763,676,526,379,269,2/18/2023
106,20230219,P,91,72,70,78,86,160,371,636,1100,1658,2390,2146,1794,1763,2164,2205,1855,1620,1202,1052,807,397,272,171,2/19/2023
106,20230219,S,142,99,85,65,81,195,1254,1606,1146,1147,1299,1417,1489,1553,1707,1511,1351,1246,907,668,491,409,272,152,2/19/2023
106,20230220,P,117,68,96,122,183,312,795,1098,1613,2220,2480,2344,2402,2303,2108,1854,2058,1481,1126,1053,723,408,235,167,2/20/2023
106,20230220,S,130,118,103,100,166,318,950,1657,1739,1458,1547,1450,1429,1483,1377,1446,1170,850,740,489,419,377,265,171,2/20/2023
106,20230221,P,111,108,87,138,160,262,632,739,981,1258,1345,1330,1420,1514,1849,1788,1738,1434,909,720,508,361,216,138,2/21/2023
106,20230221,S,144,142,123,104,157,269,565,1226,1404,1483,1150,1416,1165,1034,1090,1401,1051,910,813,662,531,481,321,206,2/21/2023
106,20230222,P,124,83,71,85,115,150,343,421,600,725,750,733,755,537,821,694,652,838,334,238,221,96,140,134,2/22/2023
106,20230222,S,154,129,95,77,108,161,305,567,701,619,594,711,517,499,613,448,266,544,397,346,469,401,528,632,2/22/2023
106,20230223,P,113,98,94,84,100,154,306,472,614,721,1164,1219,1203,1422,1455,1400,1492,1902,976,620,539,337,283,193,2/23/2023
106,20230223,S,522,161,160,107,118,228,534,931,1138,1471,1463,1503,1500,1340,1474,1630,1416,1719,1402,1100,934,692,614,418,2/23/2023
