Count Date,Dir,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
03/24/2023,S,204,186,127,160,259,475,1323,2527,2750,2879,2239,2185,2003,2032,2283,2630,2906,2517,2016,1659,1102,751,566,280
03/25/2023,P,175,100,88,75,76,172,310,532,902,1262,1864,2492,2895,3139,3470,3551,2959,2490,1621,1178,873,641,413,275
03/25/2023,S,220,156,111,96,218,1143,3199,2689,1528,1836,2300,2513,2300,2185,2160,2070,1725,1458,1180,979,650,519,390,237
03/26/2023,P,168,106,113,103,108,168,343,560,1012,1809,2876,3618,3834,3790,3757,3710,3577,3501,2346,1546,981,680,310,168
03/26/2023,S,173,121,100,82,112,476,2380,2394,1953,1992,2331,2416,2268,2135,2217,2005,1755,1422,1050,784,525,418,247,187
03/27/2023,P,109,76,58,77,98,182,455,767,918,996,1363,1704,1840,1930,2189,2090,2028,1745,1137,728,465,400,269,163
03/27/2023,S,95,79,109,85,146,326,656,1351,1686,1741,1568,1596,1361,1307,1415,1377,1211,1042,838,592,500,329,239,217
03/28/2023,P,100,68,55,81,103,201,445,710,866,1086,1332,1458,1687,1951,2289,2544,2687,2337,1437,862,586,536,266,170
03/28/2023,S,150,95,81,104,229,413,913,2114,2350,2317,2006,1681,1358,1341,1363,1333,1415,1121,954,707,549,404,255,219
03/29/2023,P,127,83,69,74,105,237,465,762,932,1167,1484,1280,1611,2648,2639,2873,2770,2254,1378,969,595,452,278,201
03/29/2023,S,141,128,84,133,238,429,919,2071,2370,2378,1982,1664,1552,1351,1449,1456,1490,1301,1107,816,621,449,352,296
03/30/2023,P,124,87,85,92,123,220,478,761,1008,1150,1532,1633,1364,887,1464,2736,3041,2898,1527,797,508,352,296,171
03/30/2023,S,189,142,99,138,238,478,906,1872,2379,2214,1869,1724,1583,1621,1607,1648,1743,1652,1502,1166,810,582,380,363
03/31/2023,P,120,92,70,73,100,181,379,607,768,1187,1257,1865,1878,2338,2534,2253,1696,1503,1357,869,945,792,1215,591
03/31/2023,S,199,166,110,136,213,435,1311,2587,2554,2158,2050,1860,1866,1827,1944,2185,2112,1935,1544,1249,903,649,441,262
