Count Date,Dir,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
12/26/2022,P,89,68,56,67,78,146,289,449,878,1348,2243,2241,3169,3444,3258,3324,4075,3658,2457,1376,1048,634,344,215
12/26/2022,S,193,121,100,104,122,457,1897,3320,3056,3069,2974,2858,2945,2970,2789,2712,2913,2858,1379,1129,870,651,443,284
12/27/2022,P,145,80,83,93,109,209,449,665,1012,1373,1856,2250,2431,2961,3424,3131,3624,3299,2730,1081,589,356,444,404
12/27/2022,S,227,155,144,138,255,548,1748,3151,3546,3497,3337,3265,3331,3035,2829,2232,2199,1616,1232,959,742,553,360,216
12/28/2022,P,177,107,81,61,109,180,373,570,863,1241,1739,2119,2368,2692,3161,3311,2916,2098,1420,1133,165,287,119,1
12/28/2022,S,182,158,105,164,211,519,1530,3368,3401,3111,2824,2717,2390,2269,2199,1864,1485,1028,802,479,433,164,29,28
12/30/2022,P,149,84,81,93,120,240,455,686,877,1549,1925,2449,2697,2769,3777,4009,3646,3202,2726,1574,865,610,341,188
12/30/2022,S,182,109,117,124,203,522,2260,2482,2472,2563,2355,2544,2909,2840,2925,3161,1900,1479,1191,1116,866,588,428,286
12/31/2022,P,103,92,64,85,117,154,318,497,766,785,1790,2342,2129,2427,2861,2836,2489,1994,1172,787,602,377,228,182
12/31/2022,S,212,132,109,106,167,596,2658,2352,1482,1600,1988,2284,2216,2030,1825,1579,1204,912,634,483,365,238,195,134
