Count Date,Dir,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
02/23/2023,S,146,173,131,108,217,452,1000,2136,2627,2085,1853,1689,1657,1807,1872,1795,2125,1929,1605,1293,1052,771,703,409
02/24/2023,P,148,123,124,108,147,221,455,742,945,994,1418,1546,1381,1695,2643,2994,2882,2638,2616,2401,1121,653,391,277
02/24/2023,S,295,260,207,179,255,532,1706,3207,3346,2924,2430,2182,2133,2200,2543,3070,3134,3261,2922,1611,2058,1024,623,413
02/25/2023,P,206,123,155,142,165,308,610,912,1083,1597,2174,2545,2777,3068,3325,3991,3946,3816,3198,2915,1822,975,450,283
02/25/2023,S,274,206,164,158,287,1804,3398,3760,3300,2834,3090,2891,2325,2170,2341,2042,1950,1542,1146,954,763,575,378,336
02/26/2023,P,164,112,117,133,181,281,610,1044,1591,2620,3769,4018,3925,3450,4030,4284,4013,3848,3245,2521,1845,821,395,189
02/26/2023,S,179,135,93,111,161,853,3285,3497,2334,1973,2193,2205,2004,1969,1964,1717,1407,1044,826,665,502,366,242,202
02/27/2023,P,129,77,74,102,125,325,753,1295,1358,1520,1767,2264,2211,2417,2670,2780,2698,2502,1426,865,627,428,283,200
02/27/2023,S,138,101,120,146,228,469,1094,2167,2428,2409,1879,1575,1533,1340,1391,1409,1297,970,973,673,550,386,353,196
02/28/2023,P,105,97,89,75,99,200,364,720,905,939,993,1580,1513,1579,1593,1545,1759,1687,1035,800,486,483,314,230
02/28/2023,S,152,132,104,110,213,411,836,1364,1620,1583,1229,1071,1091,1111,1156,1080,1128,1042,906,633,516,423,303,219
